userID;fio;phone;login;password;type
1;Трубин Никита Юрьевич;89210563128;kasoo;root;Менеджер
2;Мурашов Андрей Юрьевич;89535078985;murashov123;qwerty;Мастер
3;Степанов Андрей Викторович;89210673849;test1;test1;Мастер
4;Перина Анастасия Денисовна;89990563748;perinaAD;250519;Оператор
5;Мажитова Ксения Сергеевна;89994563847;krutiha1234567;1234567890;Оператор
6;Семенова Ясмина Марковна;89994563847;login1;pass1;Мастер
7;Баранова Эмилия Марковна;89994563841;login2;pass2;Заказчик
8;Егорова Алиса Платоновна;89994563842;login3;pass3;Заказчик
9;Титов Максим Иванович;89994563843;login4;pass4;Заказчик
10;Иванов Марк Максимович;89994563844;login5;pass5;Мастер
